images,currentobject,xstart,xend,ystart,yend,,
balloons_bad_blue_1.png,Scene1,0.3,0.8,0.3,0.7,,
balloons_bad_blue_2.png,Scene2,0.3,0.8,0.3,0.7,,
balloons_bad_blue_3.png,Scene3,0.3,0.8,0.3,0.7,,
balloons_bad_green_1.png,Scene1,0.3,0.8,0.3,0.7,,
balloons_bad_green_2.png,Scene2,0.3,0.8,0.3,0.7,,
balloons_bad_green_3.png,Scene3,0.3,0.8,0.3,0.7,,
balloons_bad_yellow_1.png,Scene1,0.3,0.8,0.3,0.7,,
balloons_bad_yellow_2.png,Scene2,0.3,0.8,0.3,0.7,,
balloons_bad_yellow_3.png,Scene3,0.3,0.8,0.3,0.7,,
bandaid_good_blue_1.png,Scene1,0.4,0.8,0.3,0.7,,
bandaid_good_blue_2.png,Scene2,0.3,0.6,0.4,0.8,,
bandaid_good_blue_3.png,Scene3,0.3,0.6,0.4,0.8,,
bandaid_good_green_1.png,Scene1,0.4,0.8,0.3,0.7,,
bandaid_good_green_2.png,Scene2,0.3,0.6,0.4,0.8,,
bandaid_good_green_3.png,Scene3,0.3,0.6,0.4,0.8,,
bandaid_good_yellow_1.png,Scene1,0.4,0.8,0.3,0.7,,
bandaid_good_yellow_2.png,Scene2,0.3,0.6,0.4,0.8,,
bandaid_good_yellow_3.png,Scene3,0.3,0.6,0.4,0.8,,
bat_bad_blue_1.png,Scene1,0.4,0.8,0.3,0.8,,
bat_bad_blue_2.png,Scene2,0.4,0.6,0.4,0.8,,
bat_bad_blue_3.png,Scene3,0.3,0.7,0.4,0.8,,
bat_bad_green_1.png,Scene1,0.4,0.8,0.3,0.8,,
bat_bad_green_2.png,Scene2,0.4,0.6,0.4,0.8,,
bat_bad_green_3.png,Scene3,0.3,0.7,0.4,0.8,,
bat_bad_yellow_1.png,Scene1,0.4,0.8,0.3,0.8,,
bat_bad_yellow_2.png,Scene2,0.4,0.6,0.4,0.8,,
bat_bad_yellow_3.png,Scene3,0.3,0.7,0.4,0.8,,
bed_bad_blue_1.png,Scene1,0.3,0.8,0.3,0.8,,
bed_bad_blue_2.png,Scene2,0.5,0.8,0.3,0.8,,
bed_bad_blue_3.png,Scene3,0.5,0.8,0.3,0.8,,
bed_bad_green_1.png,Scene1,0.3,0.8,0.3,0.8,,
bed_bad_green_2.png,Scene2,0.5,0.8,0.3,0.8,,
bed_bad_green_3.png,Scene3,0.5,0.8,0.3,0.8,,
bed_bad_yellow_1.png,Scene1,0.3,0.8,0.3,0.8,,
bed_bad_yellow_2.png,Scene2,0.5,0.8,0.3,0.8,,
bed_bad_yellow_3.png,Scene3,0.5,0.8,0.3,0.8,,
bed_good_blue_1.png,Scene1,0.3,0.8,0.3,0.8,,
bed_good_blue_2.png,Scene2,0.5,0.8,0.3,0.8,,
bed_good_blue_3.png,Scene3,0.5,0.8,0.3,0.8,,
bed_good_green_1.png,Scene1,0.3,0.8,0.3,0.8,,
bed_good_green_2.png,Scene2,0.5,0.8,0.3,0.8,,
bed_good_green_3.png,Scene3,0.5,0.8,0.3,0.8,,
bed_good_yellow_1.png,Scene1,0.3,0.8,0.3,0.8,,
bed_good_yellow_2.png,Scene2,0.5,0.8,0.3,0.8,,
bed_good_yellow_3.png,Scene3,0.5,0.8,0.3,0.8,,
blocks_bad_blue_1.png,Scene1,0.2,0.8,0.4,0.8,,
blocks_bad_blue_2.png,Scene2,0.4,0.8,0.5,0.8,,
blocks_bad_blue_3.png,Scene3,0.4,0.8,0.5,0.8,,
blocks_bad_green_1.png,Scene1,0.2,0.8,0.4,0.8,,
blocks_bad_green_2.png,Scene2,0.4,0.8,0.5,0.8,,
blocks_bad_green_3.png,Scene3,0.4,0.8,0.5,0.8,,
blocks_bad_yellow_1.png,Scene1,0.2,0.8,0.4,0.8,,
blocks_bad_yellow_2.png,Scene2,0.4,0.8,0.5,0.8,,
blocks_bad_yellow_3.png,Scene3,0.4,0.8,0.5,0.8,,
blocks_good_blue_1.png,Scene1,0.2,0.8,0.3,0.8,,
blocks_good_blue_2.png,Scene2,0.4,0.7,0.3,0.8,,
blocks_good_blue_3.png,Scene3,0.4,0.7,0.3,0.8,,
blocks_good_green_1.png,Scene1,0.2,0.8,0.3,0.8,,
blocks_good_green_2.png,Scene2,0.4,0.7,0.3,0.8,,
blocks_good_green_3.png,Scene3,0.4,0.7,0.3,0.8,,
blocks_good_yellow_1.png,Scene1,0.2,0.8,0.3,0.8,,
blocks_good_yellow_2.png,Scene2,0.4,0.7,0.3,0.8,,
blocks_good_yellow_3.png,Scene3,0.4,0.7,0.3,0.8,,
blockthrow_bad_blue_1.png,Scene1,0.2,0.8,0.3,0.8,,
blockthrow_bad_blue_2.png,Scene2,0.2,0.8,0.3,0.8,,
blockthrow_bad_blue_3.png,Scene3,0.2,0.5,0.3,0.8,,
blockthrow_bad_green_1.png,Scene1,0.2,0.8,0.3,0.8,,
blockthrow_bad_green_2.png,Scene2,0.2,0.8,0.3,0.8,,
blockthrow_bad_green_3.png,Scene3,0.2,0.5,0.3,0.8,,
blockthrow_bad_yellow_1.png,Scene1,0.2,0.8,0.3,0.8,,
blockthrow_bad_yellow_2.png,Scene2,0.2,0.8,0.3,0.8,,
blockthrow_bad_yellow_3.png,Scene3,0.2,0.5,0.3,0.8,,
book_bad_blue_1.png,Scene1,0.2,0.6,0.1,0.6,,
book_bad_blue_2.png,Scene2,0.2,0.6,0.1,0.6,,
book_bad_blue_3.png,Scene3,0.2,0.7,0.1,0.7,,
book_bad_green_1.png,Scene1,0.2,0.6,0.1,0.6,,
book_bad_green_2.png,Scene2,0.2,0.6,0.1,0.6,,
book_bad_green_3.png,Scene3,0.2,0.7,0.1,0.7,,
book_bad_yellow_1.png,Scene1,0.2,0.6,0.1,0.6,,
book_bad_yellow_2.png,Scene2,0.2,0.6,0.1,0.6,,
book_bad_yellow_3.png,Scene3,0.2,0.7,0.1,0.7,,
book_good_blue_1.png,Scene1,0.2,0.6,0.1,0.6,,
book_good_blue_2.png,Scene2,0.2,0.6,0.1,0.6,,
book_good_blue_3.png,Scene3,0.3,0.7,0.3,0.7,,
book_good_green_1.png,Scene1,0.2,0.6,0.1,0.6,,
book_good_green_2.png,Scene2,0.2,0.6,0.1,0.6,,
book_good_green_3.png,Scene3,0.3,0.7,0.3,0.7,,
book_good_yellow_1.png,Scene1,0.2,0.6,0.1,0.6,,
book_good_yellow_2.png,Scene2,0.2,0.6,0.1,0.6,,
book_good_yellow_3.png,Scene3,0.3,0.7,0.3,0.7,,
box_bad_blue_1.png,Scene1,0.4,0.8,0.1,0.6,,
